気象官署名,郵便番号,所在地等,電話番号,区分
成田航空地方気象台,282-0004,千葉県成田市古込字込前133　成田国際空港管理ビル内,0476-32-6550,管区気象台等
東京航空地方気象台,144-0041,東京都大田区羽田空港3-3-1,03-5757-9674,管区気象台等
中部航空地方気象台,479-0881,愛知県常滑市セントレア一丁目１番地,0569-38-0001,管区気象台等
大阪管区気象台,540-0008,大阪府大阪市中央区大手前4-1-76 大阪合同庁舎第4号館,06-6949-6300,管区気象台等
神戸地方気象台,651-0073,兵庫県神戸市中央区脇浜海岸通1-4-3 神戸防災合同庁舎,078-222-8901,管区気象台等
彦根地方気象台,522-0068,滋賀県彦根市城町2-5-25,0749-23-2582,管区気象台等
京都地方気象台,604-8482,京都府京都市中京区西ノ京笠殿町38,075-823-4302,管区気象台等
奈良地方気象台,630-8307,奈良県奈良市西紀寺町12-1,0742-22-4445,管区気象台等
和歌山地方気象台,640-8230,和歌山県和歌山市男野芝丁4,073-432-0632,管区気象台等
鳥取地方気象台,680-0842,鳥取県鳥取市吉方109 鳥取第3地方合同庁舎,0857-29-1312,管区気象台等
松江地方気象台,690-0017,島根県松江市西津田7-1-11,0852-21-3794,管区気象台等
岡山地方気象台,700-0984,岡山県岡山市北区桑田町1-36 岡山地方合同庁舎,086-223-1721,管区気象台等
広島地方気象台,730-0012,広島県広島市中区上八丁堀6-30 広島合同庁舎4号館,082-223-3950,管区気象台等
徳島地方気象台,770-0864,徳島県徳島市大和町2-3-36,088-622-2265,管区気象台等
高松地方気象台,760-0019,香川県高松市サンポート3-33 高松サンポート合同庁舎南館,087-826-6121,管区気象台等
松山地方気象台,790-0873,愛媛県松山市北持田町102,089-941-6293,管区気象台等
高知地方気象台,780-0870,高知県高知市本町4-3-41 高知地方合同庁舎,088-822-8883,管区気象台等
関西航空地方気象台,549-0011,大阪府泉南郡田尻町泉州空港中1番地,072-455-1250,管区気象台等
福岡管区気象台,810-0052,福岡県福岡市中央区大濠1-2-36,092-725-3601,管区気象台等
長崎地方気象台,850-0931,長崎県長崎市南山手町11-51,095-811-4863,管区気象台等
下関地方気象台,750-0025,山口県下関市竹崎町4-6-1 下関地方合同庁舎,083-234-4005,管区気象台等
佐賀地方気象台,840-0801,佐賀県佐賀市駅前中央3-3-20 佐賀第2合同庁舎,0952-32-7025,管区気象台等
熊本地方気象台,860-0047,熊本県熊本市西区春日2-10-1 熊本地方合同庁舎,096-352-7740,管区気象台等
大分地方気象台,870-0023,大分県大分市長浜町3-1-38,097-532-0667,管区気象台等
宮崎地方気象台,880-0032,宮崎県宮崎市霧島5-1-4,0985-25-4033,管区気象台等
鹿児島地方気象台,890-0068,鹿児島県鹿児島市東郡元町4-1 鹿児島第2地方合同庁舎,099-250-9911,管区気象台等
福岡航空地方気象台,812-0005,福岡県福岡市博多区大字上臼井字屋敷295,092-621-3945,管区気象台等
沖縄気象台,900-8517,沖縄県那覇市樋川1-15-15 那覇第一地方合同庁舎,098-833-4281,管区気象台等
宮古島地方気象台,906-0013,沖縄県宮古島市平良字下里1020-7,0980-72-3050,管区気象台等
石垣島地方気象台,907-0004,沖縄県石垣市字登野城428,0980-82-2155,管区気象台等
南大東島地方気象台,901-3805,沖縄県島尻郡南大東村字在所306,09802-2-2535,管区気象台等
帯広測候所,080-0804,北海道帯広市東四条南9-2-1,0155-25-2334　,測候所
名瀬測候所,894-0026,鹿児島県奄美市名瀬港町8-1,0997-52-0204,測候所
新千歳航空測候所,066-0012,北海道千歳市美々　新千歳空港内,0123-45-7713,航空測候所
仙台航空測候所,989-2401,宮城県名取市下増田字南原,022-383-3795,航空測候所
那覇航空測候所,901-0143,沖縄県那覇市字安次嶺531-3　那覇空港統合庁舎,098-857-3192,航空測候所
